id,value
id_0,5.304565204400899
id_1,16.438369362736143
id_2,24.066957170435558
id_3,5.419025792660746
id_4,26.713428937094314
id_5,21.212589874736615
id_6,23.598575819361745
id_7,30.583045179309835
id_8,17.030308973810577
id_9,58.27701757570776
id_10,11.628785078865894
id_11,8.844418358169403
id_12,61.0033919104964
id_13,53.19475105456033
id_14,21.2744336114845
id_15,10.43459098852688
id_16,31.358064534126406
id_17,65.53445553667311
id_18,-1.6656509221856624
id_19,16.48870290377512
id_20,40.868886254229054
id_21,71.04239905111938
id_22,7.785277222995123
id_23,16.891803391346063
id_24,13.86305049809909
id_25,36.257761189223075
id_26,13.61212256371889
id_27,65.11898934820607
id_28,6.611917356762065
id_29,55.963677193991224
id_30,23.500168017495348
id_31,8.864717775602577
id_32,2.06689790182682
id_33,19.41818207095394
id_34,28.66690699520312
id_35,35.901064183523246
id_36,42.40051294132254
id_37,29.3331685883588
id_38,40.527960502181564
id_39,35.896081082566326
id_40,6.198631075560406
id_41,40.05953845472462
id_42,30.529157162009632
id_43,49.86416547779571
id_44,16.767933280369533
id_45,33.99580034510581
id_46,22.781162217253762
id_47,8.417742304512496
id_48,24.220644342409376
id_49,30.292828267109346
id_50,21.55101138801467
id_51,7.753049368650423
id_52,21.322486456740318
id_53,52.41248141039266
id_54,15.403511020965503
id_55,34.793661306017384
id_56,31.0879347997484
id_57,21.133873583000483
id_58,57.44663838625176
id_59,21.84527612465577
id_60,13.987817606843228
id_61,40.29585461384803
id_62,11.728398568860717
id_63,48.0092322983941
id_64,12.66591153733533
id_65,13.971356766220099
id_66,13.634593536625838
id_67,-1.644571222037159
id_68,42.40153788708422
id_69,29.757149191387526
id_70,18.375003826436732
id_71,39.05562639513295
id_72,59.8634173325358
id_73,5.05383334954542
id_74,15.648675671033242
id_75,2.607130232066641
id_76,40.13377330511055
id_77,14.341407433983138
id_78,22.07715409178231
id_79,21.479422201008884
id_80,23.65177709638579
id_81,35.73679217301367
id_82,21.42710251217234
id_83,87.63060784134586
id_84,36.777663335437566
id_85,26.97040630696831
id_86,21.56214780920213
id_87,30.973416861386426
id_88,22.89159511066973
id_89,19.082572483333188
id_90,27.545922433928
id_91,39.5966153016184
id_92,4.167936922400285
id_93,36.43121163976124
id_94,44.487940946006695
id_95,15.553434759227708
id_96,31.814326137274374
id_97,12.622660742368904
id_98,22.677600399290515
id_99,4.665274788100614
id_100,17.40256294718713
id_101,26.206966820366457
id_102,12.484236132701191
id_103,16.285377642436938
id_104,23.596909155672563
id_105,38.6258611640903
id_106,30.885067945607457
id_107,4.999765070566202
id_108,5.786740800310701
id_109,76.71501717505235
id_110,46.21038664655675
id_111,16.183049292560085
id_112,27.60927518544399
id_113,15.959883675918158
id_114,12.04976894897716
id_115,24.365810293690686
id_116,25.22110920419141
id_117,9.328036999439199
id_118,17.43075568676573
id_119,18.13530037683552
id_120,79.22750929923545
id_121,24.26582594867532
id_122,34.269830906403996
id_123,24.16083036647823
id_124,6.723466494465037
id_125,38.94642510616945
id_126,9.174956641990926
id_127,20.25480476764413
id_128,28.06473363053058
id_129,62.58764931119434
id_130,20.55364793277599
id_131,21.882407870022956
id_132,57.6590255588406
id_133,13.176221152570879
id_134,13.355331132548445
id_135,2.061115553822353
id_136,12.101215083587668
id_137,57.042469556805564
id_138,19.717642030647088
id_139,4.100497740464616
id_140,27.337019089321853
id_141,23.885754338959202
id_142,41.84435002634611
id_143,30.477124596330036
id_144,16.332450893558594
id_145,25.225091797687014
id_146,10.667746730903417
id_147,50.775700126745384
id_148,22.079967580362673
id_149,37.58705217089097
id_150,8.961835068838768
id_151,6.2242864392824995
id_152,22.97572676507449
id_153,4.528151994913966
id_154,15.108947792231533
id_155,39.940945132624485
id_156,7.476623414267551
id_157,35.27571933673156
id_158,10.71222865252761
